"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Male","United States","Iowa","25 to 34","Bachelor's (Undergraduate) Degree","Yes","Student - University/College","21000","2-5 years","Retail","No","Retail ","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","50/50",,"No","None (ShapeFiles baby)","Working on graduate certificate ","No","No","1","No","Positively","No","No","10","10","No"
"Male","Europe",,"25 to 34","Master's Degree","Yes","Mid level","70000","2-5 years","Analyst","No","Local Government","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","Primarily","Illustrator","Vector","FME;InDesign;Python;VS Code","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","10","10","No"
"Male","Other",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","9000","1-2 years","Specialist","No","Engineering","GRASS;QGIS;Netcad","QGIS","No","PhotoShop","50/50","GDAL;GIMP;Python;VS Code","Python","PostgreSQL","No",,,"2","No","Not much difference","I was, but back in the office now","To some extent","6","4","haha memes go brrrr"
"Male","United States","Virginia","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","63000","Under 1 year","Analyst","""Geospatial""","Defense","ArcGIS;Google Earth","ArcGIS","Primarily","No","Vector","Python;Excel","No","File Geodatabase (ESRI)","No",,,"3","No",,,,"7","8","haha memes go brrrr"
"Male","United States","Arizona","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","52000","2-5 years","Analyst","Yes","Civil Engineering","ArcGIS;AutoCAD","ArcGIS","No","No","Vector","Microstation;PyCharm;Python","Python;.NET;C#;JavaScript","PostgreSQL","No","No","No","2","No","Positively","Yes","To some extent","5","5","haha memes go brrrr"
"Male","United States","Tennessee","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","42400","Under 1 year","Technician","Yes","Transportation","ArcGIS","ArcGIS","Primarily","Illustrator","50/50","InDesign;Python","No","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","8","4","haha memes go brrrr"
"Male","United States","Texas","25 to 34","Master's Degree","Yes","Mid level","110000","2-5 years","Project Manager","No","Central Government","ArcGIS;AutoCAD;Google Earth;QGIS","None","No","Illustrator;PhotoShop","Vector","SQL Server","No","None (ShapeFiles baby)","No","No","No","3","Yes - Once a week","Positively","Yes","Yes","10","10","No"
"Male","United States","South Carolina","45 to 54","Bachelor's (Undergraduate) Degree",,"Mangement","140000","11-25 years","Specialist","No","IT","ArcGIS","ArcGIS","50/50","No","50/50","Access;GDAL;Python;SQL Server","Python;SQL","SQL Server","Esri specific","Yes","No","3","No","Positively","Yes","Yes","10","10","No"
"Female","United States","Georgia","25 to 34","Master's Degree","Yes","Mid level","58000","2-5 years","Professional","Yes","Civil Engineering","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","50/50","Access;Python;SQL Server","Python","SQL Server","No",,,"2","No","Not much difference","Yes","To some extent","7","7","Don't care"
"Male","United States",,"18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,,,"ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No",,"Python;R","Python","File Geodatabase (ESRI)","No",,,"Laptop/tablet only","Yes - Once a week","Negatively","Yes","No","8","9","haha memes go brrrr"
"Male","United States","Missouri","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","92000","5-10 years","Specialist","Yes","Environmental","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector",,"No","File Geodatabase (ESRI)","No","No","No","3","Yes - Once a month","Not much difference","Yes","To some extent","9","9","No"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","55000","1-2 years","Research Analyst","Yes","Transportation","ArcGIS;AutoCAD;Google Earth","ArcGIS","50/50","No","Vector","Python","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","10","10","No"
"Male","United States","Arizona","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","50000","1-2 years","Specialist","Yes","Central Government","ArcGIS","ArcGIS","Primarily","No","Vector","PostGIS;PyCharm;Python;R;SQL Server;VS Code","Python;SQL","SQL Server","No",,,"2","Yes - More than once a month","Not much difference","No",,"7","6","haha memes go brrrr"
"Male","United States","Massachusetts","25 to 34","Master's Degree","Yes","Mangement","60000","11-25 years","GIS Administrator","Yes","Local Government","ArcGIS;ERDAS;Google Earth;Idrisi;QGIS","ArcGIS","Primarily","Illustrator;PhotoShop","50/50","Access;Python;R;SQL Server;Tableau","No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","I was, but back in the office now",,"4","4","Don't care"
"Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","50000","5-10 years","Specialist","Yes","Environmental","ArcGIS;QGIS","QGIS","No","Blender","50/50","FME;GDAL;PostGIS;Python;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",,,"3","No","Not much difference","Yes","Yes","9","9","haha memes go brrrr"
"Female","United States","Missouri","18 to 24","High School or equivalent",,"Student - University/College","15000","1-2 years","Intern","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","No","No","Vector",,"No","SQL Server","No",,,"2","No","Not much difference","I was, but back in the office now","No","7","9","Don't care"
"Male","United States","Wisconsin","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","33000","1-2 years","Technician","Yes","Utilities","ArcGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","6","5","No"
"Male","United States","Utah","25 to 34","High School or equivalent",,"Mangement","48000","2-5 years","Manager","Yes","Public Health","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Vector","GDAL;Python;Dji agricultural management platform, webodm ","Python;Some, html, arcade","Personal Geodatabase (ESRI)","No",,,"2","Yes - Most days","Not much difference","No","No","9","7","No"
"Male","United States","Ohio","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","46000","11-25 years","Manager","Yes","Non-Profit","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","Access;Python;SQL Server","No","SQL Server","No",,,"2","No","Not much difference","Yes","To some extent","7","7","Don't care"
"Male","United States","Nevada","45 to 54","Bachelor's (Undergraduate) Degree",,"Senior level","90000","11-25 years","Analyst","Yes","Utilities","ArcGIS;QGIS","ArcGIS","No","I don't make maps",,"Access;FME;GDAL;Pix4D;PyCharm;Python;SQL Server;Visual Studio, Oracle (sqlplus, sqldeveloper), SQL Server Management Studio, Inkscape, ","Python;SQL;.NET;C#;JavaScript;ASP, HTTP, CSS","File Geodatabase (ESRI)","No",,,"3","No","Positively","Yes","To some extent","8","9","No"
"Female","United States","Massachusetts","18 to 24","High School or equivalent",,"Student - University/College","0","Under 1 year","Intern","I’m just an intern using GIS for a land conservation company. ","Environmental","ArcGIS;ERDAS;Google Earth;Idrisi","ArcGIS","50/50","No","50/50",,"No","Personal Geodatabase (ESRI)","No",,,"Laptop/tablet only","Yes - Once a month","Negatively","Yes","No","10","10","No"
"Male","United States","Kentucky","35 to 44","Master's Degree","Yes","Mid level","75000","11-25 years","Analyst","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","A bit","Illustrator","Vector","Python;SQL Server","Python;SQL","SQL Server","No",,,"2","No","Positively","Yes","Yes","8","6","Don't care"
"Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","5-10 years","Systems Analyst Programmer","No","Local Government","ArcGIS","ArcGIS","Exclusively","No","Vector","Python;SQL Server","Python;JavaScript;Arcade","File Geodatabase (ESRI)","Geospatial Technologies","No","No","2","No","Positively","Yes","Yes","10","10","haha memes go brrrr"
"Male","United States","Michigan","18 to 24","High School or equivalent",,"Student - University/College","4000","2-5 years","Research Assistant","No","Academia","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","R","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","8","5","No"
"Male","United States","Utah","35 to 44","Master's Degree","Yes","Mid level","64000","2-5 years","Analyst","IT Analyst","Central Government","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","GDAL;PostGIS;Python;SQL Server;Spyder","Python","File Geodatabase (ESRI)","No","No","No","2","No","Not much difference","Yes","Yes","9","9","No"
"Male","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","59000","5-10 years","Analyst","Yes","Utilities","ArcGIS","ArcGIS","A bit","No","Vector","Access;FME;SQL Server","SQL","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","Yes","Yes","8","6","Don't care"
"Male","Other",,"45 to 54","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","55000","26 or more years","Consultant","No","GIS","Google Earth;QGIS","QGIS","No","No","Vector","GDAL;GIMP;PostGIS","SQL","PostgreSQL","GISP","No","No","2","Yes - More than once a year","Not much difference","Yes","To some extent","10","7","No"
"Female","Other",,"25 to 34","Master's Degree","Maybe","Mid level","80000","5-10 years","Specialist","Geospatial ","GIS","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","Vector","Access;SQL Server","No","Personal Geodatabase (ESRI)","No","No","No","2","Yes - More than once a year","Not much difference","I was, but back in the office now","No","7","1","haha memes go brrrr"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","75000","5-10 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","A bit","No",,"GIMP;Python;SQL Server","Python;SQL","SQL Server","GISP","Yes","No","2","No","Not much difference","Yes","No","9","9","No"
"Male","United States","Florida","55 to 64","High School or equivalent",,"Mangement","90000","26 or more years","Manager","Yes","GIS","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","Vector","SQL Server","No;Python","SQL Server","GISP","Yes","No","3","No","Not much difference","Yes","No","9","10","haha memes go brrrr"
"Male","United States","Kentucky","25 to 34","Master's Degree","Yes","Student - University/College","23000","1-2 years","Research Assistant","No",,"ArcGIS","ArcGIS","Exclusively","No","50/50","Access;Pix4D;Python;R;VS Code;JMP","Python;SQL;R","MySQL","No",,,"Laptop/tablet only","No","Not much difference","Yes","To some extent","8","10","Don't care"
"Male","United States","Washington","35 to 44","Master's Degree","Maybe","Mid level","94000","11-25 years","Developer","Yes","GIS","ArcGIS;Google Earth","ArcGIS","Exclusively","Illustrator;PhotoShop","Vector","InDesign;Python;SQL Server;VS Code","Python;SQL;.NET;C#;JavaScript","PostgreSQL","GISP","No","No","2","No","Positively","Yes","To some extent","8","8","haha memes go brrrr"
"Female","Other",,"18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,,,"QGIS","QGIS",,"InkScape","Vector","Python;R;VS Code","Python;R","None (ShapeFiles baby)","No",,,"1",,,,,"7","7","haha memes go brrrr"
"Female","Other",,"18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,,,"QGIS","QGIS",,"InkScape","Vector","Python;R;VS Code","Python;R","None (ShapeFiles baby)","No",,,"1",,,,,"7","7","haha memes go brrrr"
"Female","United States","Illinois","55 to 64","Master's Degree","Yes","Mid level","78000","11-25 years","Coordinator","Yes","Transportation","ArcGIS","ArcGIS","A bit","No","Vector","Access;SQL Server","No","Oracle","GISP","No","No","2","No","Not much difference","Yes","No","10","10","Don't care"
"Male","United States","Tennessee","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","73000","Under 1 year","Consultant","No","Natural Resources","ArcGIS","ArcGIS","Exclusively","No","50/50","FME","HTML, CSS, Arcade? ","File Geodatabase (ESRI)","Certified Scrum Product Owner ","Yes","No","2","No","Positively","Yes","Yes","6","7","haha memes go brrrr"
"Male","United States","Utah","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","75000","5-10 years","Specialist","No","GIS","SmartyStreets","Other","No","No","50/50",,"JavaScript","Oracle","No",,,"3","No","Not much difference","No",,"10","10","Don't care"
"Male","United States","Maryland","25 to 34","Master's Degree","Yes","Student - University/College","15000.00","Not employed.","graduate assistant ","No","Academia","ArcGIS;GRASS;QGIS","QGIS","No","GIMP","Vector","GIMP;R;Stata","No","None (ShapeFiles baby)","No",,,"Laptop/tablet only",,"Positively","Yes",,"7","7","haha memes go brrrr"
"Male","United States","Pennsylvania","18 to 24","Master's Degree","Maybe","Employed in a different field","50000","Under 1 year",,"No","IT","ArcGIS","ArcGIS","Exclusively","No","50/50","Python","Python;SQL;.NET;C#;JavaScript","File Geodatabase (ESRI)","GISP","No","No","2",,"Negatively","Yes",,"4","4","haha memes go brrrr"
"Male","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Looking for work","0.00","Under 1 year",,"Yes",,"ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","No","Illustrator;PhotoShop","50/50",,"No","File Geodatabase (ESRI)","No",,,"3",,"Not much difference",,,"7","9","haha memes go brrrr"
"Male","United States",,"18 to 24","High School or equivalent","Maybe","Student - University/College","15000","2-5 years","Greenskeeper","No","Golf","ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","Primarily","No","50/50",,"No","SQLite (SpatiaLite, GeoPackage)","No",,,"2",,"Positively","No","No","7","9","haha memes go brrrr"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","59000","1-2 years","Specialist","Yes","Local Government","ArcGIS","ArcGIS","Primarily","No","50/50","Access;Pix4D;Python;SQL Server","Python","SQL Server","No",,,"3","Yes - More than once a month","Not much difference","I was, but back in the office now","No","8","8","haha memes go brrrr"
"Male","United States","Florida","35 to 44","Master's Degree","Maybe","Mid level","65000","5-10 years","Analyst","Yes","Utilities","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","ArcGIS","Primarily","No","50/50","PostGIS;Python","Python","SQL Server","No",,,"2","Yes - More than once a month","Not much difference","No",,"9","9","Don't care"
"Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","48320","5-10 years","Consultant","Yes","Insurance","ArcGIS;ERDAS;Global Mapper;Google Earth;QGIS","QGIS","No","No","50/50","FME;Python","Python","None (ShapeFiles baby)","No",,,"3","No","Not much difference","I was already working from home","To some extent","7","6","haha memes go brrrr"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Entry level","44000","2-5 years","Planner","No","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","No","No","Vector","InDesign;SQL Server","No","SQL Server","No",,,"2","No","Positively","Yes","To some extent","8","7","No"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Entry level","44000","2-5 years","Planner","No","Local Government","ArcGIS;AutoCAD;Google Earth","ArcGIS","No","No","Vector","InDesign;SQL Server","No","SQL Server","No",,,"2","No","Positively","Yes","To some extent","8","7","No"
"Male","United States","Rhode Island","25 to 34","Bachelor's (Undergraduate) Degree","N/A","Entry level","48000","Under 1 year","Research Assistant","Yes","Local Government","ArcGIS","ArcGIS","Exclusively","No","50/50","R","R","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","Yes","Yes","10","10","Yes"
"Female","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"student/intern","30000","Under 1 year","Intern","Yes","Central Government","ArcGIS","ArcGIS","No","No","Vector","PyCharm;Python","No","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","To some extent","10","8","haha memes go brrrr"
"Male","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","74000","5-10 years","Analyst","Yes","Local Government","ArcGIS;Google Earth;FME 95% of the time with web GIS (agol) ","Other","Primarily","No","Vector","Access;FME;Python;SQL Server","Python;Comp science level of understanding of what's going on in the background ","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was already working from home","I was already working from home","10","8","No"
